id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,finishes,position,sizes,thickness,material,shape,cut,diameter,length,width,height,source
872,Pearl Grey,"Small size (6x24.6 cm) ceramic tiles with a slightly uneven Shiny surface, that capture light’s every refraction on a colour palette in the hues of the Mediterranean Sea. Shapes and textures create a dynamic visual pattern, in which waves generate ever-changing scenarios, just as the light striking the walls constantly evokes new atmospheres. A homage to the Italian ceramic tradition that bestows a new, exquisite, vibrant tactile beauty on interiors, for combination with a variety of surfaces in elegant cross-over design schemes.",ceramice,BRICK,Brit,False,,Fondovalle,,Shiny,,,"9 mm / 0.35""",Ceramic,,,,,,,fondovalle ceramice
873,Almond,"Small size (6x24.6 cm) ceramic tiles with a slightly uneven Shiny surface, that capture light’s every refraction on a colour palette in the hues of the Mediterranean Sea. Shapes and textures create a dynamic visual pattern, in which waves generate ever-changing scenarios, just as the light striking the walls constantly evokes new atmospheres. A homage to the Italian ceramic tradition that bestows a new, exquisite, vibrant tactile beauty on interiors, for combination with a variety of surfaces in elegant cross-over design schemes.",ceramice,BRICK,Brit,False,,Fondovalle,,Shiny,,,"9 mm / 0.35""",Ceramic,,,,,,,fondovalle ceramice
874,Mint,"Small size (6x24.6 cm) ceramic tiles with a slightly uneven Shiny surface, that capture light’s every refraction on a colour palette in the hues of the Mediterranean Sea. Shapes and textures create a dynamic visual pattern, in which waves generate ever-changing scenarios, just as the light striking the walls constantly evokes new atmospheres. A homage to the Italian ceramic tradition that bestows a new, exquisite, vibrant tactile beauty on interiors, for combination with a variety of surfaces in elegant cross-over design schemes.",ceramice,BRICK,Brit,False,,Fondovalle,,Shiny,,,"9 mm / 0.35""",Ceramic,,,,,,,fondovalle ceramice
875,Ocean,"Small size (6x24.6 cm) ceramic tiles with a slightly uneven Shiny surface, that capture light’s every refraction on a colour palette in the hues of the Mediterranean Sea. Shapes and textures create a dynamic visual pattern, in which waves generate ever-changing scenarios, just as the light striking the walls constantly evokes new atmospheres. A homage to the Italian ceramic tradition that bestows a new, exquisite, vibrant tactile beauty on interiors, for combination with a variety of surfaces in elegant cross-over design schemes.",ceramice,BRICK,Brit,False,,Fondovalle,,Shiny,,,"9 mm / 0.35""",Ceramic,,,,,,,fondovalle ceramice
900,Elements Pebbles Beige,"The new Elements tile collection is incredibly versatile and offers a wide range of customisation options. It’s where urban chic meets the warmth and beauty of wood for fascinating, creative compositions. Innovative combinations capture the very essence of the materials, creating new ways to imagine spaces where details can be mixed and matched to deliver an extraordinary tactile, visual and sensory experience. The three finishes of the Elements porcelain stoneware tiles can be arranged in elegant tone-on-tone or contrasting colour combinations to create smooth transitions between different areas of the home or define functional areas both indoors and outdoors.",ceramice,CONCRETE,Elements Pebbles,False,CASALGRANDE PADANA,Casalgrande Padana,,"Bocciardata R11, Natural R10",,"120 x 120 cm, 120 x 278 cm, 30 x 60 cm, 60 x 120 cm, 60 x 60 cm, 90 x 90 cm","20mm, 6mm, 9mm",Porcelain stoneware,,,,,,,casalgrande padana
901,Elements Pebbles Black,"The new Elements tile collection is incredibly versatile and offers a wide range of customisation options. It’s where urban chic meets the warmth and beauty of wood for fascinating, creative compositions. Innovative combinations capture the very essence of the materials, creating new ways to imagine spaces where details can be mixed and matched to deliver an extraordinary tactile, visual and sensory experience. The three finishes of the Elements porcelain stoneware tiles can be arranged in elegant tone-on-tone or contrasting colour combinations to create smooth transitions between different areas of the home or define functional areas both indoors and outdoors.",ceramice,CONCRETE,Elements Pebbles,False,CASALGRANDE PADANA,Casalgrande Padana,,"Bocciardata R11, Natural R10",,"120 x 120 cm, 120 x 278 cm, 30 x 60 cm, 60 x 120 cm, 60 x 60 cm, 90 x 90 cm","20mm, 6mm, 9mm",Porcelain stoneware,,,,,,,casalgrande padana
902,Elements Pebbles Taupe,"The new Elements tile collection is incredibly versatile and offers a wide range of customisation options. It’s where urban chic meets the warmth and beauty of wood for fascinating, creative compositions. Innovative combinations capture the very essence of the materials, creating new ways to imagine spaces where details can be mixed and matched to deliver an extraordinary tactile, visual and sensory experience. The three finishes of the Elements porcelain stoneware tiles can be arranged in elegant tone-on-tone or contrasting colour combinations to create smooth transitions between different areas of the home or define functional areas both indoors and outdoors.",ceramice,CONCRETE,Elements Pebbles,False,CASALGRANDE PADANA,Casalgrande Padana,,"Bocciardata R11, Natural R10",,"120 x 120 cm, 120 x 278 cm, 30 x 60 cm, 60 x 120 cm, 60 x 60 cm, 90 x 90 cm","20mm, 6mm, 9mm",Porcelain stoneware,,,,,,,casalgrande padana
903,Elements Pebbles Tobacco,"The new Elements tile collection is incredibly versatile and offers a wide range of customisation options. It’s where urban chic meets the warmth and beauty of wood for fascinating, creative compositions. Innovative combinations capture the very essence of the materials, creating new ways to imagine spaces where details can be mixed and matched to deliver an extraordinary tactile, visual and sensory experience. The three finishes of the Elements porcelain stoneware tiles can be arranged in elegant tone-on-tone or contrasting colour combinations to create smooth transitions between different areas of the home or define functional areas both indoors and outdoors.",ceramice,CONCRETE,Elements Pebbles,False,CASALGRANDE PADANA,Casalgrande Padana,,"Bocciardata R11, Natural R10",,"120 x 120 cm, 120 x 278 cm, 30 x 60 cm, 60 x 120 cm, 60 x 60 cm, 90 x 90 cm","20mm, 6mm, 9mm",Porcelain stoneware,,,,,,,casalgrande padana
904,Terrae Beige,"Terrae combines a modern take on the classic essence of terracotta with the strength and practical appeal of latest-generation porcelain stoneware. In bright, vibrant, engaging, regenerating colours and delicate, discreet, subtle, inviting shades, strikingly decorative earthy tones are back in the forefront of interior design trends. A profound desire to reconnect with nature shapes a range of colours that embody the pleasure and the thrill of designing living spaces with a timeless charm, able to convey an immediate sensation of well-being. A warm touch that reveals the endless shades of colour offered by the pigments and precious minerals of the earth, in a porcelain stoneware collection able to capture the attention and bring a vibrant, exotic allure to settings.",ceramice,CONCRETE,Terrae,False,CASALGRANDE PADANA,Casalgrande Padana,,"Grip R11, Naturale R10 A+B PTV>36",,"120 x 120 cm, 120 x 278 cm, 20 x 20 cm, 30 x 60 cm, 60 x 120 cm, 60 x 60 cm, 8.2 x 25 cm, 90 x 90 cm","20mm, 6mm, 9mm",Porcelain stoneware,,,,,,,casalgrande padana
905,Terrae Caramel,"Terrae combines a modern take on the classic essence of terracotta with the strength and practical appeal of latest-generation porcelain stoneware. In bright, vibrant, engaging, regenerating colours and delicate, discreet, subtle, inviting shades, strikingly decorative earthy tones are back in the forefront of interior design trends. A profound desire to reconnect with nature shapes a range of colours that embody the pleasure and the thrill of designing living spaces with a timeless charm, able to convey an immediate sensation of well-being. A warm touch that reveals the endless shades of colour offered by the pigments and precious minerals of the earth, in a porcelain stoneware collection able to capture the attention and bring a vibrant, exotic allure to settings.",ceramice,CONCRETE,Terrae,False,CASALGRANDE PADANA,Casalgrande Padana,,"Grip R11, Naturale R10 A+B PTV>36",,"120 x 120 cm, 120 x 278 cm, 20 x 20 cm, 30 x 60 cm, 60 x 120 cm, 60 x 60 cm, 8.2 x 25 cm, 90 x 90 cm","20mm, 6mm, 9mm",Porcelain stoneware,,,,,,,casalgrande padana
906,Terrae Mattone,"Terrae combines a modern take on the classic essence of terracotta with the strength and practical appeal of latest-generation porcelain stoneware. In bright, vibrant, engaging, regenerating colours and delicate, discreet, subtle, inviting shades, strikingly decorative earthy tones are back in the forefront of interior design trends. A profound desire to reconnect with nature shapes a range of colours that embody the pleasure and the thrill of designing living spaces with a timeless charm, able to convey an immediate sensation of well-being. A warm touch that reveals the endless shades of colour offered by the pigments and precious minerals of the earth, in a porcelain stoneware collection able to capture the attention and bring a vibrant, exotic allure to settings.",ceramice,CONCRETE,Terrae,False,CASALGRANDE PADANA,Casalgrande Padana,,"Grip R11, Naturale R10 A+B PTV>36",,"120 x 120 cm, 120 x 278 cm, 20 x 20 cm, 30 x 60 cm, 60 x 120 cm, 60 x 60 cm, 8.2 x 25 cm, 90 x 90 cm","20mm, 6mm, 9mm",Porcelain stoneware,,,,,,,casalgrande padana
907,Terrae Tortora,"Terrae combines a modern take on the classic essence of terracotta with the strength and practical appeal of latest-generation porcelain stoneware. In bright, vibrant, engaging, regenerating colours and delicate, discreet, subtle, inviting shades, strikingly decorative earthy tones are back in the forefront of interior design trends. A profound desire to reconnect with nature shapes a range of colours that embody the pleasure and the thrill of designing living spaces with a timeless charm, able to convey an immediate sensation of well-being. A warm touch that reveals the endless shades of colour offered by the pigments and precious minerals of the earth, in a porcelain stoneware collection able to capture the attention and bring a vibrant, exotic allure to settings.",ceramice,CONCRETE,Terrae,False,CASALGRANDE PADANA,Casalgrande Padana,,"Grip R11, Naturale R10 A+B PTV>36",,"120 x 120 cm, 120 x 278 cm, 20 x 20 cm, 30 x 60 cm, 60 x 120 cm, 60 x 60 cm, 8.2 x 25 cm, 90 x 90 cm","20mm, 6mm, 9mm",Porcelain stoneware,,,,,,,casalgrande padana
908,Circle,"cm 20x20 – 7 7/8”x7 7/8”

Available in the versions: BE/TA: Beige + Tabacco BI/TO: Bianco + Tortora BE/CA: Beige + Caramel BI/MA: Bianco + Mattone

Terrae combines a modern take on the classic essence of terracotta with the strength and practical appeal of latest-generation porcelain stoneware. In bright, vibrant, engaging, regenerating colours and delicate, discreet, subtle, inviting shades, strikingly decorative earthy tones are back in the forefront of interior design trends. A profound desire to reconnect with nature shapes a range of colours that embody the pleasure and the thrill of designing living spaces with a timeless charm, able to convey an immediate sensation of well-being. A warm touch that reveals the endless shades of colour offered by the pigments and precious minerals of the earth, in a porcelain stoneware collection able to capture the attention and bring a vibrant, exotic allure to settings.",ceramice,CONCRETE,Terrae,False,CASALGRANDE PADANA,Casalgrande Padana,,"Grip R11, Naturale R10 A+B PTV>36",,"120 x 120 cm, 120 x 278 cm, 20 x 20 cm, 30 x 60 cm, 60 x 120 cm, 60 x 60 cm, 8.2 x 25 cm, 90 x 90 cm","20mm, 6mm, 9mm",Porcelain stoneware,,,,,,,casalgrande padana
